video_id,exercise_id,repetition_number,window_start,window_end,correctness,err_0,err_1,err_2,err_3,err_4,err_5,err_6,err_7,err_8,err_9,err_10,err_11,err_12,err_13
PM_000,1,1,180,196,1,6.1381258587899055,13.192325894789375,-5.784632593858376,-90.16357713898654,4.214704282776793,-3.8640700481557886,-0.25672206186991176,-0.4965676141276809,-8.856886360956523,-13.983394447816451,3.797628833036269,-34.72424170754603,14.618728809704693,15.411380761692984
PM_000,1,1,188,204,1,5.096373878599827,12.20346483826691,-5.154410058496793,-75.36217606235101,4.423800622586521,-5.056734604847451,0.0346296691155743,0.0316740024433404,-7.823149292849942,-10.28400211535878,4.411247809417679,-52.131635801953266,14.38901370028881,15.28246132841231
PM_000,1,1,196,212,1,2.954953734194376,8.3070311453235,-4.297163756196391,-61.72159449391793,5.203689587290912,-6.348403921476054,0.39146210268541815,0.20677303128190516,-6.283648013840786,-8.082177018002614,4.764381066575879,-45.958992149647386,15.780352261116763,13.723775632219967
PM_000,1,1,204,220,1,0.42246473522181205,3.8187537705322043,-2.4502558931578586,-48.32679867934702,5.4112971730579815,-6.935424766236418,0.5477030308695205,0.271160400922529,-4.698290048845037,-5.694240665791839,4.402908897024213,-25.571883535247615,16.78205516000036,12.035830535874913
PM_000,1,1,212,228,1,-1.3551451169293873,2.1902773533349364,-0.49562095926367333,-33.52046008739781,4.506036930403038,-6.550704104340241,0.4547758580507253,0.49810225469163605,-3.0644460903389215,-2.041102187780724,3.430553643464089,-13.75410711987525,16.824785031073297,11.437914374943546
PM_000,1,1,220,236,1,-2.1433393600133446,3.4265007719885325,0.6512023409441807,-20.359122680651538,3.399906399075519,-5.9360426159446895,-0.014544509788283477,0.47790254762263373,-1.964757631430082,-0.7593471106498786,1.5566453361960217,-9.426080656463888,17.017441352899347,13.969833574512238
PM_000,1,1,228,244,1,-1.88236801932913,4.073610410190943,1.146435379151441,-11.661213471651624,2.368922047868569,-5.430176795573891,-0.6818614643091188,0.43727938370257746,-1.4508611285836777,-1.7948903173336328,0.4672280323515583,-7.332933480684913,16.799936700143398,17.51005719345859
PM_000,1,1,236,252,1,-1.2603323856162998,3.744627406125497,1.1524882201412772,-4.962432037844903,1.8525254101059456,-5.013051466731257,-1.0081265237026216,0.4234734084119385,-0.7963990704033161,-1.3077658231445533,0.6807039745420713,-3.726179695547457,16.633575091705602,19.50610164371063
PM_000,1,1,244,260,1,-1.6262094052902203,5.12047497396156,1.359415211397109,0.6284704390276064,2.0684218937251906,-4.257929387080914,-0.29908197030279027,-0.09618027097638482,-0.25647666084599585,-0.4643686318668223,0.08210699824615197,-0.8449675109581989,16.822986321341446,18.757393964801672
PM_000,1,1,252,268,1,-0.921197956901489,5.948406831707928,0.6713180970077444,4.074119820507133,2.4485912205500924,-3.2700014450744064,0.8463396599149426,-0.6044026350065188,0.12890435350492524,0.25943537557441587,-0.5890823796873104,0.7309253951056736,15.951868714452461,18.690793121002898
PM_000,1,1,260,276,1,-0.07855752538690552,6.2998971464534534,-0.23865496169231348,6.413469021696278,2.9079069099552033,-2.1942543003998,1.1115138875072041,-0.8409010491669289,0.024981688569059912,2.4621886419221752,-0.0581406957954993,1.005637623185418,13.377324797922721,20.72704741241015
PM_000,1,1,268,284,1,0.1906127159155364,7.526890732287432,-0.5730751449093563,8.836199653766954,3.551321604609271,-1.640486915474499,0.6218204243390861,-0.8784606079597985,0.11607227161123479,4.2946346205953905,0.24180451820982363,0.5316736466372216,10.794796154695678,19.471010357239617
PM_000,1,1,276,292,1,0.4708413477609632,7.74691498364542,-0.7201027623101763,10.280950900705193,4.131836874369064,-1.8424967135990915,0.19115535369718195,-1.2130742062048387,0.5843760978963832,3.333397686571117,-0.41904637265604805,0.729238295573337,11.057545610554113,18.581998837049916
PM_000,1,1,284,300,1,-0.17388915741324773,7.555448427879114,-0.5072017313472261,8.47256451415275,4.9365101897959,-2.060460979934998,0.0370133029700952,-1.9400589720182868,0.38952785527937817,0.7509556109496973,-0.8369954919547471,0.4438469749772107,12.269020198847219,20.49438982832693
PM_000,1,1,292,308,1,-1.9341393642261426,5.899973946071677,0.10663699729866116,0.09442519600953236,5.10927889437221,-2.2897568296135518,0.16104266059694972,-2.1993733875689543,-0.2613391452067537,-1.5966616791485562,-1.0225983348216197,-2.499300455178876,12.188699616359383,20.153034909665745
